run	success	duration	cost	ftissue_gli	Kp_gli	GU__GLIABS_k	GU__MREABS_k	GU__MEXC_k	LI__GLI2M1_Vmax	LI__M1EX_k	LI__M12M2_k	LI__M2EX_k	KI__M1EX_k	KI__M2EX_k	message	x	x0
62	True	72.39781045913696	106.88073149234191	0.0007119011515174725	10.006217229197958	0.015904095634736153	0.015854007861877625	0.00017401341393032737	5.357621832951992e-05	0.07765331217705769	0.0148374549093027	99.99999999999994	0.1479660271481923	0.09834098851768384	`xtol` termination condition is satisfied.	"[7.11901152e-04 1.00062172e+01 1.59040956e-02 1.58540079e-02
 1.74013414e-04 5.35762183e-05 7.76533122e-02 1.48374549e-02
 1.00000000e+02 1.47966027e-01 9.83409885e-02]"	"[2.32809570e-02 2.47979775e+01 4.84465234e-04 4.23253057e-03
 1.29051610e-01 2.02149682e-06 2.92663341e+01 7.05085621e-01
 3.26024069e-02 7.79538022e-01 7.66998650e-03]"
36	True	58.11398410797119	106.88073601570123	0.0007124452997810657	10.000000000000005	0.015902399288310234	0.015850921721029206	0.00017433152518396317	5.357036380858187e-05	0.0777608967953235	0.014845171535409804	99.99999999999913	0.14800014725184887	0.09831690241517975	`xtol` termination condition is satisfied.	"[7.12445300e-04 1.00000000e+01 1.59023993e-02 1.58509217e-02
 1.74331525e-04 5.35703638e-05 7.77608968e-02 1.48451715e-02
 1.00000000e+02 1.48000147e-01 9.83169024e-02]"	"[9.37462199e-03 2.18551883e+01 2.73072319e-03 2.37835900e-01
 6.02071074e-03 2.31386930e-06 3.89285616e-02 4.49064227e+01
 5.45277970e-01 5.99082785e-03 2.66614478e-01]"
48	True	52.14450240135193	106.8807610308333	0.000712571701310641	10.000006504815813	0.015903576621262395	0.015845461488864673	0.00017431517528507975	5.356861631990678e-05	0.07773440088370044	0.014841040098096737	99.99999999850161	0.14798340638066224	0.09831900191420276	`xtol` termination condition is satisfied.	"[7.12571701e-04 1.00000065e+01 1.59035766e-02 1.58454615e-02
 1.74315175e-04 5.35686163e-05 7.77344009e-02 1.48410401e-02
 1.00000000e+02 1.47983406e-01 9.83190019e-02]"	"[2.50288446e-01 5.13682116e+01 1.74597991e-03 9.89327239e-02
 4.44379350e-02 5.95927529e-03 1.64939702e+01 3.53676590e-01
 2.01652159e-02 1.90163629e-02 4.94202519e-01]"
88	True	51.86694812774658	106.88076972384913	0.0007122753888413287	10.003177125277137	0.015900804577358336	0.01584516207418405	0.00017422940111615903	5.3570050222517e-05	0.07765771587866793	0.014835794394901179	99.99999999999994	0.14793147665572617	0.09832774273207215	`ftol` termination condition is satisfied.	"[7.12275389e-04 1.00031771e+01 1.59008046e-02 1.58451621e-02
 1.74229401e-04 5.35700502e-05 7.76577159e-02 1.48357944e-02
 1.00000000e+02 1.47931477e-01 9.83277427e-02]"	"[4.62245355e-04 1.66502843e+01 2.73119428e-04 1.07071601e-02
 2.81583524e-02 1.52230031e-06 6.99472229e+01 3.89627997e+01
 6.57964307e-02 1.40895716e-03 1.25267339e-04]"
3	True	90.60695481300354	106.88081147834492	0.0007125241262985233	10.000000008481813	0.015902660932979824	0.015848589257510953	0.00017448483406331234	5.356839705637027e-05	0.07772653484737677	0.014844134555750534	99.99999943376531	0.14801015680494767	0.09830316250221068	`xtol` termination condition is satisfied.	"[7.12524126e-04 1.00000000e+01 1.59026609e-02 1.58485893e-02
 1.74484834e-04 5.35683971e-05 7.77265348e-02 1.48441346e-02
 9.99999994e+01 1.48010157e-01 9.83031625e-02]"	"[3.87876707e-01 7.84087624e+02 5.33143127e-04 1.33724184e-04
 2.46569154e-01 2.60454622e-07 2.91179384e+01 9.28320148e+01
 3.38677905e-01 1.13204730e-04 9.19466507e-03]"
18	True	41.66033053398132	106.88087640526304	0.0007127188102023245	10.000066031553269	0.015903603634446366	0.01584433878782811	0.00017461306709579106	5.35662355735798e-05	0.07770210164468502	0.014843687420370472	99.99999959506965	0.1480350102899432	0.09829418766340388	`xtol` termination condition is satisfied.	"[7.12718810e-04 1.00000660e+01 1.59036036e-02 1.58443388e-02
 1.74613067e-04 5.35662356e-05 7.77021016e-02 1.48436874e-02
 9.99999996e+01 1.48035010e-01 9.82941877e-02]"	"[1.51228673e-01 1.26408262e+02 8.27619440e-01 2.94768136e-02
 1.01019272e-04 1.31567129e-05 4.11346142e-03 1.69631879e+01
 4.73377652e-01 1.37715973e-02 9.85141610e-01]"
67	True	84.6820638179779	106.88089348860854	0.0007117880585261309	10.008581057202303	0.015903518140419612	0.01586080361672192	0.00017403398580732326	5.357696532142346e-05	0.07771949692475429	0.014845050945846133	99.99999999999994	0.14802284678849822	0.09834023840835796	`xtol` termination condition is satisfied.	"[7.11788059e-04 1.00085811e+01 1.59035181e-02 1.58608036e-02
 1.74033986e-04 5.35769653e-05 7.77194969e-02 1.48450509e-02
 1.00000000e+02 1.48022847e-01 9.83402384e-02]"	"[1.67346495e-04 8.59168280e+01 7.45680169e-02 2.50424799e-01
 4.83932022e-03 4.82503345e-05 5.77837369e-03 9.40185155e-03
 8.26834463e-01 6.04749131e-03 3.00013062e-02]"
71	True	35.83662724494934	106.8809003128046	0.0007127032642978078	10.000000000117256	0.015902756552119344	0.015837825883772392	0.0001745466046744919	5.356485089608942e-05	0.0776275554580435	0.014833805775706055	99.99999995325746	0.14793568471280058	0.0983047975151229	`xtol` termination condition is satisfied.	"[7.12703264e-04 1.00000000e+01 1.59027566e-02 1.58378259e-02
 1.74546605e-04 5.35648509e-05 7.76275555e-02 1.48338058e-02
 1.00000000e+02 1.47935685e-01 9.83047975e-02]"	"[2.82495948e-03 1.09949755e+01 4.26849941e-02 4.32953054e-02
 8.55543754e-03 3.17480218e-04 1.92919950e-03 7.45219328e+01
 2.19196714e-02 1.20961748e-01 8.52749663e-01]"
68	True	77.51486444473267	106.88090299878023	0.0007127254077565362	10.000000110046363	0.01590156345240186	0.01583542185637243	0.0001744654153653213	5.356373459201583e-05	0.07764921660257376	0.014832541693741364	99.99999999999994	0.147912976911452	0.09830847222525178	`xtol` termination condition is satisfied.	"[7.12725408e-04 1.00000001e+01 1.59015635e-02 1.58354219e-02
 1.74465415e-04 5.35637346e-05 7.76492166e-02 1.48325417e-02
 1.00000000e+02 1.47912977e-01 9.83084722e-02]"	"[2.12704419e-03 8.70288618e+02 2.23199088e-01 5.70668367e-01
 4.06948484e-04 9.30995035e-03 1.67365333e-02 5.51764255e+00
 2.36473503e+00 5.24956928e-02 1.54375119e-01]"
60	True	55.233023166656494	106.88093446112507	0.0007118690516813415	10.005354034585581	0.015905217659565207	0.015857627067919617	0.0001741098322530824	5.3575332677156156e-05	0.07773914901698432	0.014845060854361405	99.9999805099357	0.14801009521049377	0.09833855625327369	`xtol` termination condition is satisfied.	"[7.11869052e-04 1.00053540e+01 1.59052177e-02 1.58576271e-02
 1.74109832e-04 5.35753327e-05 7.77391490e-02 1.48450609e-02
 9.99999805e+01 1.48010095e-01 9.83385563e-02]"	"[5.60624959e-04 1.18050912e+01 1.09157714e-04 1.91425012e-03
 1.03683644e-04 4.48344698e-06 9.65197906e-02 2.13924944e+00
 2.85442291e+01 7.67421730e-04 1.00119697e-04]"
